"V1","V2"
0,1
0,1
0,0.5
0,0.333333333333333
0.1,0.75
0,NA
0,1
0.142857142857143,1
0,0.5
0,0.333333333333333
0,0.5
0.142857142857143,0
0.142857142857143,1
0,1
0.6,0.333333333333333
0.2,1
0.0909090909090909,0.833333333333333
0,NA
0,1
0.142857142857143,1
0.333333333333333,0.333333333333333
0.0909090909090909,0.833333333333333
0,0.833333333333333
0.142857142857143,0
0,1
0,1
0.25,0.5
0,0.583333333333333
0.222222222222222,0.583333333333333
0,0
0.166666666666667,0.833333333333333
0,0.833333333333333
0,0.333333333333333
0,0.583333333333333
0.230769230769231,0.833333333333333
0,0
0,1
0,1
0,0.333333333333333
0,0.916666666666667
0.214285714285714,0.916666666666667
0,0
0,1
0,1
0.5,0.166666666666667
0.0833333333333333,0.916666666666667
0.166666666666667,0.833333333333333
0,NA
0,1
0,1
0.333333333333333,0.333333333333333
0,0.666666666666667
0.181818181818182,0.75
0,NA
0.142857142857143,1
0,1
0.5,0.5
0.181818181818182,0.75
0.1,0.75
0,0
0,0.833333333333333
0.25,1
0.333333333333333,0.333333333333333
0,0.416666666666667
0.0909090909090909,0.833333333333333
0.25,NA
0,1
0.142857142857143,1
0.25,0.5
0.0833333333333333,0.916666666666667
0.2,0.666666666666667
0.142857142857143,NA
0,1
0,0.833333333333333
0,0.166666666666667
0,0.416666666666667
0,0.416666666666667
0,NA
0.25,1
0.4,1
0,0.333333333333333
0.0909090909090909,0.833333333333333
0.111111111111111,0.666666666666667
0.4,NA
0.5,1
0,1
0.5,0.333333333333333
0.153846153846154,0.916666666666667
0.166666666666667,0.833333333333333
0,NA
0.25,1
0,1
0.25,0.5
0,0.75
0.181818181818182,0.75
0,NA
0,1
0,1
0.333333333333333,0.333333333333333
0,0.5
0.125,0.583333333333333
0,NA
0,1
0,1
NA,NA
0.3125,0.916666666666667
0,0.916666666666667
0,NA
0.25,1
0.142857142857143,1
0.25,0.5
0.0833333333333333,0.916666666666667
0.1,0.75
0.142857142857143,NA
0,1
0.142857142857143,1
0,0.333333333333333
0.25,1
0,0.583333333333333
0.142857142857143,NA
0,1
0.142857142857143,1
0,0.333333333333333
0,0.583333333333333
0,0.916666666666667
0.142857142857143,0
0,1
0,1
0.333333333333333,0.666666666666667
0,0.666666666666667
0,0.666666666666667
0,NA
0,1
0,0.833333333333333
0,0.333333333333333
0.0909090909090909,0.833333333333333
0,0.75
0,0
0,1
0,1
0,0.166666666666667
0,0.583333333333333
0,0.666666666666667
0,0
0.142857142857143,1
0.25,1
0,0.333333333333333
0,0.916666666666667
0.0909090909090909,0.833333333333333
0.25,0
0,1
0,1
0,0.166666666666667
0.1,0.75
0,0.666666666666667
0,0
0,1
0,1
1,0
0,0.75
0,0.666666666666667
0,NA
0.571428571428571,1
0.25,1
0,0.333333333333333
0.142857142857143,1
0,0.5
0.25,NA
0,1
0.25,1
NA,NA
0.0769230769230769,1
0,0.666666666666667
0.25,NA
0.142857142857143,1
0.142857142857143,1
0,0.333333333333333
0,0.833333333333333
0,0.5
0.142857142857143,NA
0,1
0.142857142857143,1
NA,NA
0.25,0.75
0,0.583333333333333
0.142857142857143,NA
0,1
0,1
0,0.166666666666667
0.1,0.75
0,0.916666666666667
0,0
0,1
0.142857142857143,1
NA,NA
0.166666666666667,0.833333333333333
0,0.583333333333333
0.142857142857143,NA
0.25,1
0,1
NA,NA
0,0.75
0.125,0.583333333333333
0,NA
0,1
0,1
0,0.333333333333333
0.0769230769230769,1
0.166666666666667,0.833333333333333
0,0
0.142857142857143,1
0.142857142857143,1
0,0.166666666666667
0.0909090909090909,0.833333333333333
0,0.666666666666667
0.142857142857143,NA
0,1
0.5,1
0.5,0.166666666666667
0.166666666666667,0.833333333333333
0.142857142857143,0.5
0.5,0
0,1
0,1
0,0.333333333333333
0.0909090909090909,0.833333333333333
0,0.75
0,0
0.142857142857143,1
0,1
0,0.166666666666667
0.1,0.75
0,0.666666666666667
0,0
0,0.833333333333333
0.4,1
0,0.166666666666667
0,0.916666666666667
0.0769230769230769,1
0.4,0
0,1
0.142857142857143,1
0,0.666666666666667
0.3,0.583333333333333
0.3,0.583333333333333
0.142857142857143,NA
0,0.833333333333333
0,0.833333333333333
0,0.166666666666667
0,0.333333333333333
0.0909090909090909,0.833333333333333
0,0
0,1
0,1
0,0.333333333333333
0,0.583333333333333
0.25,0.75
0,0
0.142857142857143,1
0,1
0,0.166666666666667
0.166666666666667,0.833333333333333
0,0.833333333333333
0,0
0,1
0,1
0.4,0.5
0.0833333333333333,0.916666666666667
0,0.833333333333333
0,NA
0.142857142857143,1
0.142857142857143,1
0,0.666666666666667
0.1,0.75
0.4,0.75
0.142857142857143,NA
0,1
0,0.833333333333333
0,0.333333333333333
0,0.666666666666667
0,0.416666666666667
0,0
0,0.833333333333333
0.142857142857143,1
0.25,0.5
0.0833333333333333,0.916666666666667
0.25,1
0.142857142857143,0
0,0.833333333333333
0,0.833333333333333
0.666666666666667,0.166666666666667
0,0.833333333333333
0,0.5
0,NA
0.142857142857143,1
0.142857142857143,1
0.25,0.5
0,0.916666666666667
0,0.583333333333333
0.142857142857143,0
0,1
0,0.833333333333333
0,0.166666666666667
0,0.75
0,0.416666666666667
0,NA
0,0.833333333333333
0,1
0.25,0.5
0.25,0.75
0.428571428571429,0.666666666666667
0,NA
0,1
0,0.666666666666667
0.25,0.5
0,0.916666666666667
0,0.666666666666667
0,NA
0.142857142857143,1
0,0.833333333333333
0.428571428571429,0.666666666666667
0,0.5
0.1,0.75
0,0
0.142857142857143,1
0,1
0.571428571428571,0.5
0,0.666666666666667
0.307692307692308,0.75
0,NA
0.142857142857143,1
0.142857142857143,1
0.5,0.166666666666667
0.1,0.75
0,0.666666666666667
0.142857142857143,0
0,1
0,0.666666666666667
0.333333333333333,0.333333333333333
0,0.583333333333333
0.2,0.666666666666667
0,0
0.142857142857143,1
0,1
0,0.333333333333333
0,0.333333333333333
0,0.166666666666667
0,NA
0.25,1
0.166666666666667,0.833333333333333
0,0.333333333333333
0,0.833333333333333
0,0.666666666666667
0.166666666666667,NA
0.25,1
0.142857142857143,1
0,0.333333333333333
0.2,1
0,0.833333333333333
0.142857142857143,NA
0,1
0.142857142857143,1
0,0.166666666666667
0.1,0.75
0.0909090909090909,0.833333333333333
0.142857142857143,NA
0,1
0.142857142857143,1
0.333333333333333,0.333333333333333
0,0.833333333333333
0,0.75
0.142857142857143,NA
0,1
0,1
0,0.166666666666667
0.0909090909090909,0.833333333333333
0,0.583333333333333
0,NA
0.142857142857143,1
0.333333333333333,1
0.25,0.5
0,0.583333333333333
0,0.583333333333333
0.333333333333333,NA
0.4,1
0.4,1
0.571428571428571,0.5
0.357142857142857,0.75
0,0.666666666666667
0.4,0
0.142857142857143,1
0.4,1
0,0.166666666666667
0.111111111111111,0.666666666666667
0,0.583333333333333
0.4,NA
0,1
0.142857142857143,1
0,0.333333333333333
0.153846153846154,0.916666666666667
0.1,0.75
0.142857142857143,NA
0.142857142857143,1
0,1
0.333333333333333,0.666666666666667
0,0.833333333333333
0,0.583333333333333
0,NA
0,1
0,1
0,0.333333333333333
0.1,0.75
0.125,0.583333333333333
0,0
0,1
0,1
0.666666666666667,0.333333333333333
0.0909090909090909,0.833333333333333
0.25,0.75
0,0
0,0.833333333333333
0,1
0,0.333333333333333
0,0.666666666666667
0.181818181818182,0.75
0,NA
0,0.666666666666667
0,1
1,0
0.111111111111111,0.666666666666667
0,0.583333333333333
0,0
0,1
0.5,1
0,0.166666666666667
0,0.916666666666667
0,0.583333333333333
0.5,0
0,0.666666666666667
0.2,0.666666666666667
NA,NA
0,0.583333333333333
0,0.666666666666667
0.2,0
0.142857142857143,1
0.142857142857143,1
0,0.166666666666667
0.0909090909090909,0.833333333333333
0,0.5
0.142857142857143,NA
0,1
0.142857142857143,1
0,0.166666666666667
0.230769230769231,0.833333333333333
0,0.333333333333333
0.142857142857143,NA
0,1
0,1
1,0
0,0.916666666666667
0.0833333333333333,0.916666666666667
0,0
0,1
0,1
0.5,0.333333333333333
0,0.583333333333333
0.0833333333333333,0.916666666666667
0,NA
0,1
0.142857142857143,1
NA,NA
0,0.833333333333333
0,0.416666666666667
0.142857142857143,0
0.25,1
0,1
NA,NA
0.153846153846154,0.916666666666667
0.0909090909090909,0.833333333333333
0,NA
0.333333333333333,1
0,1
NA,NA
0,0.833333333333333
0.352941176470588,0.916666666666667
0,NA
0,1
0,1
0,0.166666666666667
0,0.833333333333333
0,0.833333333333333
0,0
0,1
0,1
0.25,0.5
0,0.666666666666667
0.1,0.75
0,NA
0,1
0,0.833333333333333
0,0.166666666666667
0.0909090909090909,0.833333333333333
0.166666666666667,0.833333333333333
0,0
0,1
0,1
0.25,0.5
0.0909090909090909,0.833333333333333
0.0909090909090909,0.833333333333333
0,0
0.25,1
0,0.833333333333333
1,0
0.307692307692308,0.75
0,0.916666666666667
0,0
0.5,1
0,1
0,0.333333333333333
0,0.916666666666667
0.153846153846154,0.916666666666667
0,NA
0.142857142857143,1
0,1
NA,NA
0,0.75
0,0.583333333333333
0,0
0,1
0.142857142857143,1
0,0.333333333333333
0,0.666666666666667
0,0.5
0.142857142857143,0
0,0.833333333333333
0.375,0.833333333333333
NA,NA
0,0.666666666666667
0,0.75
0.375,NA
0,1
0.4,1
0.4,0.5
0.0909090909090909,0.833333333333333
0,0.916666666666667
0.4,NA
0.142857142857143,1
0,1
0,0.333333333333333
0.25,0.75
0.166666666666667,0.416666666666667
0,NA
0.142857142857143,1
0,1
0.5,0.333333333333333
0.0909090909090909,0.833333333333333
0.0909090909090909,0.833333333333333
0,NA
0,1
0,0.833333333333333
0,0.333333333333333
0.0833333333333333,0.916666666666667
0.181818181818182,0.75
0,0
0,1
0.142857142857143,1
0.25,0.5
0.0909090909090909,0.833333333333333
0.166666666666667,0.833333333333333
0.142857142857143,0
0,1
0,1
0.25,0.5
0.1,0.75
0.166666666666667,0.833333333333333
0,NA
0.142857142857143,1
0.5,1
NA,NA
0.153846153846154,0.916666666666667
0,0.583333333333333
0.5,NA
0.5,1
0,0.833333333333333
NA,NA
0,0.833333333333333
0.153846153846154,0.916666666666667
0,0
0,1
0,1
0,0.166666666666667
0.25,1
0.411764705882353,0.833333333333333
0,NA
0,1
0,1
NA,NA
0.142857142857143,1
0,0.833333333333333
0,NA
